Universe,dfc_method,tr,segment_length,delay,density,binarise,graph_measure,svc_kernel
Universe_141,MTD7,0.72,10,10,0.25,False,clustering,linear
Universe_142,MTD7,0.72,10,10,0.25,False,clustering,rbf
Universe_143,MTD7,0.72,10,10,0.25,False,efficiency,linear
Universe_144,MTD7,0.72,10,10,0.25,False,efficiency,rbf
Universe_145,PSc,0.72,10,6,0.5,True,participation,linear
Universe_146,PSc,0.72,10,6,0.5,True,participation,rbf
Universe_147,PSc,0.72,10,6,0.5,True,clustering,linear
Universe_148,PSc,0.72,10,6,0.5,True,clustering,rbf
Universe_149,PSc,0.72,10,6,0.5,True,efficiency,linear
Universe_150,PSc,0.72,10,6,0.5,True,efficiency,rbf
Universe_151,PSc,0.72,10,6,0.5,False,participation,linear
Universe_152,PSc,0.72,10,6,0.5,False,participation,rbf
Universe_153,PSc,0.72,10,6,0.5,False,clustering,linear
Universe_154,PSc,0.72,10,6,0.5,False,clustering,rbf
Universe_155,PSc,0.72,10,6,0.5,False,efficiency,linear
Universe_156,PSc,0.72,10,6,0.5,False,efficiency,rbf
Universe_157,PSc,0.72,10,6,0.25,True,participation,linear
Universe_158,PSc,0.72,10,6,0.25,True,participation,rbf
Universe_159,PSc,0.72,10,6,0.25,True,clustering,linear
Universe_160,PSc,0.72,10,6,0.25,True,clustering,rbf
Universe_161,PSc,0.72,10,6,0.25,True,efficiency,linear
Universe_162,PSc,0.72,10,6,0.25,True,efficiency,rbf
Universe_163,PSc,0.72,10,6,0.25,False,participation,linear
Universe_164,PSc,0.72,10,6,0.25,False,participation,rbf
Universe_165,PSc,0.72,10,6,0.25,False,clustering,linear
Universe_166,PSc,0.72,10,6,0.25,False,clustering,rbf
Universe_167,PSc,0.72,10,6,0.25,False,efficiency,linear
Universe_168,PSc,0.72,10,6,0.25,False,efficiency,rbf
Universe_169,PSc,0.72,10,10,0.5,True,participation,linear
Universe_170,PSc,0.72,10,10,0.5,True,participation,rbf
Universe_171,PSc,0.72,10,10,0.5,True,clustering,linear
Universe_172,PSc,0.72,10,10,0.5,True,clustering,rbf
Universe_173,PSc,0.72,10,10,0.5,True,efficiency,linear
Universe_174,PSc,0.72,10,10,0.5,True,efficiency,rbf
Universe_175,PSc,0.72,10,10,0.5,False,participation,linear
Universe_176,PSc,0.72,10,10,0.5,False,participation,rbf
Universe_177,PSc,0.72,10,10,0.5,False,clustering,linear
Universe_178,PSc,0.72,10,10,0.5,False,clustering,rbf
Universe_179,PSc,0.72,10,10,0.5,False,efficiency,linear
Universe_180,PSc,0.72,10,10,0.5,False,efficiency,rbf
Universe_181,PSc,0.72,10,10,0.25,True,participation,linear
Universe_182,PSc,0.72,10,10,0.25,True,participation,rbf
Universe_183,PSc,0.72,10,10,0.25,True,clustering,linear
Universe_184,PSc,0.72,10,10,0.25,True,clustering,rbf
Universe_185,PSc,0.72,10,10,0.25,True,efficiency,linear
Universe_186,PSc,0.72,10,10,0.25,True,efficiency,rbf
Universe_187,PSc,0.72,10,10,0.25,False,participation,linear
Universe_188,PSc,0.72,10,10,0.25,False,participation,rbf
Universe_189,PSc,0.72,10,10,0.25,False,clustering,linear
Universe_190,PSc,0.72,10,10,0.25,False,clustering,rbf
Universe_191,PSc,0.72,10,10,0.25,False,efficiency,linear
Universe_192,PSc,0.72,10,10,0.25,False,efficiency,rbf
Universe_193,FLS,0.72,10,6,0.5,True,participation,linear
Universe_194,FLS,0.72,10,6,0.5,True,participation,rbf
Universe_195,FLS,0.72,10,6,0.5,True,clustering,linear
Universe_196,FLS,0.72,10,6,0.5,True,clustering,rbf
Universe_197,FLS,0.72,10,6,0.5,True,efficiency,linear
Universe_198,FLS,0.72,10,6,0.5,True,efficiency,rbf
Universe_199,FLS,0.72,10,6,0.5,False,participation,linear
Universe_200,FLS,0.72,10,6,0.5,False,participation,rbf
Universe_201,FLS,0.72,10,6,0.5,False,clustering,linear
Universe_202,FLS,0.72,10,6,0.5,False,clustering,rbf
Universe_203,FLS,0.72,10,6,0.5,False,efficiency,linear
Universe_204,FLS,0.72,10,6,0.5,False,efficiency,rbf
Universe_205,FLS,0.72,10,6,0.25,True,participation,linear
Universe_206,FLS,0.72,10,6,0.25,True,participation,rbf
Universe_207,FLS,0.72,10,6,0.25,True,clustering,linear
Universe_208,FLS,0.72,10,6,0.25,True,clustering,rbf
Universe_209,FLS,0.72,10,6,0.25,True,efficiency,linear
Universe_210,FLS,0.72,10,6,0.25,True,efficiency,rbf
Universe_211,FLS,0.72,10,6,0.25,False,participation,linear
Universe_212,FLS,0.72,10,6,0.25,False,participation,rbf
Universe_213,FLS,0.72,10,6,0.25,False,clustering,linear
Universe_214,FLS,0.72,10,6,0.25,False,clustering,rbf
Universe_215,FLS,0.72,10,6,0.25,False,efficiency,linear
Universe_216,FLS,0.72,10,6,0.25,False,efficiency,rbf
Universe_217,FLS,0.72,10,10,0.5,True,participation,linear
Universe_218,FLS,0.72,10,10,0.5,True,participation,rbf
Universe_219,FLS,0.72,10,10,0.5,True,clustering,linear
Universe_220,FLS,0.72,10,10,0.5,True,clustering,rbf
Universe_221,FLS,0.72,10,10,0.5,True,efficiency,linear
Universe_222,FLS,0.72,10,10,0.5,True,efficiency,rbf
Universe_223,FLS,0.72,10,10,0.5,False,participation,linear
Universe_224,FLS,0.72,10,10,0.5,False,participation,rbf
Universe_225,FLS,0.72,10,10,0.5,False,clustering,linear
Universe_226,FLS,0.72,10,10,0.5,False,clustering,rbf
Universe_227,FLS,0.72,10,10,0.5,False,efficiency,linear
Universe_228,FLS,0.72,10,10,0.5,False,efficiency,rbf
Universe_229,FLS,0.72,10,10,0.25,True,participation,linear
Universe_230,FLS,0.72,10,10,0.25,True,participation,rbf
Universe_231,FLS,0.72,10,10,0.25,True,clustering,linear
Universe_232,FLS,0.72,10,10,0.25,True,clustering,rbf
Universe_233,FLS,0.72,10,10,0.25,True,efficiency,linear
Universe_234,FLS,0.72,10,10,0.25,True,efficiency,rbf
Universe_235,FLS,0.72,10,10,0.25,False,participation,linear
Universe_236,FLS,0.72,10,10,0.25,False,participation,rbf
Universe_237,FLS,0.72,10,10,0.25,False,clustering,linear
Universe_238,FLS,0.72,10,10,0.25,False,clustering,rbf
Universe_239,FLS,0.72,10,10,0.25,False,efficiency,linear
Universe_240,FLS,0.72,10,10,0.25,False,efficiency,rbf
